Species_code,Log2_Body_size,Volume,SV,MLD,Flagella,Silice,Mucilage,Aerotopes,MBFG,Biovolume,Category
59,7,150.05,1.2,31,0,1,0,0,VI,5365.24,LC
60,7,139.94,1.3,33,0,1,0,0,VI,1991.23,LC
61,10,758.69,0.7,23,0,1,0,0,VI,899.63,LC
62,8,212.06,1.2,18,0,1,0,0,VI,16.71,LC
63,13,8278.1,0.3,61.91,0,1,0,0,VI,3742.57,LC
64,10,966,1,46,0,1,0,0,VI,140.51,LC
65,11,2660.93,0.5,44,0,1,0,0,VI,5504.35,LC
66,9,546.64,0.9,28.6,0,1,0,0,VI,685.17,LC
67,10,1286.48,0.6,25.9,0,1,0,0,VI,2942.23,LC
68,10,1060.29,0.6,25,0,1,0,0,VI,98.57,LC
69,12,2937.39,0.4,34.3,0,1,0,0,VI,617.14,LC
70,9,395.84,1.2,41.7,0,1,0,0,VI,725.85,LC
71,7,98.96,1.8,21,0,1,0,0,VI,47.54,LC
72,14,13589.61,0.3,71,0,1,0,0,VI,11695.3,LC
73,13,6013.02,0.4,49.3,0,1,0,0,VI,7379.62,LC
74,13,10449.07,0.3,48.7,0,1,0,0,VI,0,LC
75,14,16760.29,0.3,64.4,0,1,0,0,VI,9802.23,LC
76,14,18746.07,0.3,62.3,0,1,0,0,VI,0,LC
77,9,659.73,0.8,21,0,1,0,0,VI,0,LC
78,11,1520.53,0.5,16,0,1,0,0,VI,0,LC
79,12,4002.39,0.4,26,0,1,0,0,VI,275.92,LC
80,14,19045.73,0.4,160.9,0,1,0,0,VI,33728.26,LC
81,14,13845.78,0.3,61,0,1,0,0,VI,2013.94,LC
82,11,2660.93,0.5,43.8,0,1,0,0,VI,4882.44,LC
83,11,2544.69,0.5,40,0,1,0,0,VI,5271.96,LC
84,10,1237,0.6,24.7,0,1,0,0,VI,1243.13,LC
85,11,2353.84,0.5,37,0,1,0,0,VI,645.38,LC
86,10,1357.17,0.6,27,0,1,0,0,VI,1352.65,LC
87,13,7861.84,0.3,55,0,1,0,0,VI,2802.87,LC
88,11,1696.46,0.5,30,0,1,0,0,VI,1896.64,LC
89,8,348.72,1.2,37,0,1,0,0,VI,115.39,LC
90,10,753.98,0.7,19.6,0,1,0,0,VI,327.43,LC
91,7,94.25,1.3,8,0,1,0,0,VI,17.82,LC
92,10,1005.31,0.6,20,0,1,0,0,VI,2146.9,LC
